id,file_name,file_name_date,file_name_player_name,file_name_pitcher_type,file_name_at_bat_number,file_name_result,inning,abs_id,nth_pitch_ab,out_count,strike_count,ball_count,is_rhp,at_bat_result,is_filename_result_consistent,has_stealing_attempt,pitch_type,pitch_release,is_obvious_off_zone,is_pitch_ended_catcher_want,has_swing,has_first_base_runner,has_second_base_runner,has_third_base_runner,has_visible_shift,score_diffrence,is_team_leading,weather,game_time,has_swing_intention,horizontal_ending,vertical_ending,is_swing_delayed,is_swing_early,is_whiff
0c9d43af-f5c1-41ae-a5a9-9982bc1a032f,,,,,,,,5,5,2,2,1,TRUE,,,FALSE,slider,overhand,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,,TRUE,outside,low,TRUE,FALSE,FALSE
bf2a3fbb-f1aa-4938-a48a-a443d3e049c2,,,,,,,,5,6,2,2,1,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,,FALSE,middle,high,FALSE,FALSE,FALSE
0ce1e335-2dad-43ae-a21c-eb4963918445,,,,,,,,5,7,2,2,2,TRUE,,,FALSE,sinker,overhand,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,,TRUE,inside,middle,FALSE,FALSE,FALSE
8ec36ef4-4947-442e-91a9-03f5b9d579ca,,,,,,,,5,8,2,2,2,TRUE,,,FALSE,sinker,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,,FALSE,inside,high,FALSE,FALSE,FALSE
6334d786-d1dc-4453-b5ab-4cb6dee0fe21,,,,,,,,5,9,2,2,3,TRUE,,,FALSE,curve,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,,,FALSE,middle,middle,FALSE,FALSE,FALSE
62524937-931f-47e3-9fc5-18f6b90c1e5a,,,,,,,,6,1,1,0,0,TRUE,,,FALSE,slider,overhand,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,FALSE,inside,high,FALSE,FALSE,FALSE
600f46f2-daea-4964-9741-681e499cb1c0,,,,,,,,6,2,1,0,1,TRUE,,,FALSE,slider,overhand,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4_2B,1,FALSE,,,TRUE,outside,low,FALSE,FALSE,TRUE
d38b0a38-73bb-491f-a3ac-896322ba805c,,,,,,,,6,3,1,1,1,TRUE,,,FALSE,four_seam,overhand,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,FALSE,inside,low,FALSE,FALSE,FALSE
024d9b46-240d-4df8-bc93-92c239a8464f,,,,,,,,6,4,1,2,1,TRUE,,,FALSE,curve,overhand,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,,,TRUE,outside,low,FALSE,FALSE,TRUE
41e333bd-af47-4cf3-bc85-dd6e3906ec73,,,,,,,,7,1,0,0,0,TRUE,,,FALSE,curve,overhand,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,,,TRUE,middle,middle,FALSE,FALSE,FALSE
