id,abs_id,nth_pitch_ab,out_count,strike_count,ball_count,is_rhp,has_stealing_attempt,pitch_type,pitch_release,is_obvious_off_zone,is_pitch_ended_catcher_want,has_swing,has_first_base_runner,has_second_base_runner,has_third_base_runner,has_visible_shift,score_diffrence,is_team_leading,has_swing_intention,horizontal_ending,vertical_ending,is_swing_delayed,is_swing_early,is_whiff,any_on_base,base_combination
41e333bd-af47-4cf3-bc85-dd6e3906ec73,7,1,0,0,0,True,False,curve,overhand,False,True,True,True,True,True,FALSE,0,False,True,middle,middle,False,False,False,True,111
19d0554e-4083-4589-8828-c15e2af729ac,8,1,2,0,0,True,False,four_seam,overhand,False,False,True,True,False,False,FALSE,0,False,True,middle,high,False,False,False,True,100
6af920f3-0239-4bc6-ace0-8783ea18d661,9,1,2,0,0,True,False,four_seam,overhand,False,True,False,True,False,False,FALSE,0,False,False,outside,low,False,False,False,True,100
f0ef31b5-c833-476a-a42a-cbc8433a080d,9,2,2,1,0,True,False,slider,overhand,False,True,True,True,False,False,FALSE,0,False,True,outside,middle,True,True,True,True,100
646f5206-b00b-4535-b9ef-7087b9454a95,9,3,2,2,0,True,False,slider,overhand,True,True,False,True,False,False,FALSE,0,False,False,outside,low,False,False,False,True,100
cba1a985-ceae-49bd-b57f-7cf97bea1286,9,4,2,2,1,True,False,slider,overhand,True,True,True,True,False,False,FALSE,0,False,True,outside,low,False,False,True,True,100
7838bcdb-cac0-43e0-8ce5-92beaecad66a,10,1,0,0,0,False,False,four_seam,overhand,False,True,False,False,False,False,FALSE,1,False,False,middle,low,False,False,False,False,000
8162737b-a183-495b-842f-1557ebf46e47,10,2,0,1,0,False,False,slider,overhand,False,False,True,False,False,False,FALSE,1,False,True,outside,high,False,False,False,False,000
261b580f-f090-4df5-9a27-9a3711b3baca,11,1,2,0,0,False,False,curve,overhand,False,True,False,True,False,False,FALSE,5,True,False,inside,middle,False,False,False,True,100
1f5d856f-93c8-4200-85b5-ca45c11e2e6a,11,2,2,1,0,False,False,four_seam,overhand,True,False,False,True,False,False,FALSE,5,True,False,middle,high,False,False,False,True,100
7c99ebf3-5e8f-426d-9d12-683975adbbe7,11,3,2,1,1,False,False,curve,overhand,True,True,False,True,False,False,FALSE,5,True,False,outside,high,False,False,False,True,100
a9168676-808c-46c3-9c16-bd9577e568a7,11,4,2,1,2,False,False,four_seam,overhand,True,False,False,True,False,False,FALSE,5,True,False,outside,high,False,False,False,True,100
999bf212-29d3-41e4-9855-bde471c9509b,11,5,2,1,3,False,False,four_seam,overhand,False,True,True,True,False,False,FALSE,5,True,True,middle,middle,False,False,False,True,100
fd162a4b-6614-4dc9-a985-e18d2d341493,11,6,2,2,3,False,False,four_seam,overhand,True,False,True,True,False,False,FALSE,5,True,True,middle,high,True,False,True,True,100
f344bf2a-73b5-4375-aa99-8cbc1a182d86,12,1,2,0,0,False,False,four_seam,overhand,True,False,True,False,False,False,FALSE,1,False,True,middle,high,False,False,False,False,000
520aa003-1e28-443b-bba8-0c6def1f6bf4,12,2,2,1,0,False,False,four_seam,overhand,True,False,False,False,False,False,FALSE,1,False,False,middle,high,False,False,False,False,000
0bdb6fd0-a786-4481-ac5e-0e29a420f43c,12,3,2,1,1,False,False,slider,overhand,True,False,False,False,False,False,FALSE,1,False,False,inside,low,False,False,False,False,000
585edd23-c902-4994-ab0b-9c9610e99f43,12,4,2,1,2,False,False,slider,overhand,True,False,True,False,False,False,FALSE,1,False,True,outside,high,False,False,False,False,000
b1deb41d-b41a-4599-b4da-96d05d45c015,12,5,2,2,2,False,False,changeup,overhand,False,True,True,False,False,False,FALSE,1,False,True,inside,low,False,False,False,False,000
cf05c7da-144a-4beb-b01c-5901b08a3b1a,12,6,2,2,2,False,False,curve,overhand,False,False,True,False,False,False,FALSE,1,False,True,outside,low,False,False,False,False,000
1a0d9fea-0a7a-4bc5-9f43-898f2ba0063a,12,7,2,2,2,False,False,four_seam,overhand,True,False,False,False,False,False,FALSE,1,False,False,outside,high,False,False,False,False,000
f7f7642b-b41e-486e-aac2-dcc811cf9926,12,8,2,2,3,False,False,changeup,overhand,False,True,True,False,False,False,FALSE,1,False,True,outside,low,False,False,True,False,000
06c247ff-0ae7-49d1-98f6-e9becbcba459,13,2,2,1,0,True,False,slider,overhand,False,False,True,True,False,True,FALSE,2,True,True,outside,high,True,False,True,True,101
e28b4b8a-668f-425a-9b47-d616652600fd,13,3,2,2,0,True,True,slider,overhand,True,False,False,True,False,True,FALSE,2,True,False,outside,low,False,False,False,True,101
5aba4c03-0946-42fc-8bfe-a63544b76af3,13,4,2,2,1,True,False,slider,overhand,True,True,True,False,True,True,FALSE,2,True,True,outside,low,True,False,True,True,011
336a346b-3be9-48a8-81d9-2a511797b587,14,1,0,0,0,False,False,slider,side_arm,False,True,False,False,False,False,FALSE,1,True,False,outside,low,False,False,False,False,000
2f3ed65b-ea13-4bc3-ae70-c4b79d5d9b72,14,2,0,1,0,False,False,four_seam,side_arm,False,True,False,False,False,False,FALSE,1,True,True,outside,low,False,False,False,False,000
6a8d1c80-d47b-44e3-a01d-4dd619b4d849,14,3,0,1,1,False,False,four_seam,side_arm,False,True,True,False,False,False,FALSE,1,True,True,outside,middle,False,False,False,False,000
2dfa7b7d-3cc7-4855-ab7c-b1547464bc2e,15,1,0,0,0,True,False,slider,overhand,True,False,False,True,False,False,FALSE,9,True,True,outside,low,False,False,False,True,100
ec914906-a51b-4f81-b6c8-dd82c52ca595,15,2,0,0,1,True,False,four_seam,overhand,False,True,True,True,False,False,FALSE,9,True,True,inside,high,False,False,True,True,100
05d8cd8a-bb53-4590-a641-fbd6d76ce299,15,3,0,1,1,True,False,slider,overhand,False,False,True,True,False,False,FALSE,9,True,True,middle,high,False,False,False,True,100
